id,Fleet,Fleet_name,Yr,Sex,variable,value
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,17.5,1.66383e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,18.5,4.7337e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,18.5,1.87628e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,18.5,1.86564e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,18.5,1.91298e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,18.5,1.91298e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,18.5,1.88929e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,18.5,1.8793e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,18.5,1.8793e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,18.5,1.8746e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,18.5,7.38474e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,18.5,4.7337e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,18.5,1.87628e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,18.5,1.86564e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,18.5,1.91298e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,18.5,1.87628e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,18.5,1.85941e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,19.5,5.25928e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,19.5,2.0846e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,19.5,2.07278e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,19.5,2.12538e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,19.5,2.12538e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,19.5,2.09906e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,19.5,2.08796e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,19.5,2.08796e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,19.5,2.08273e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,19.5,8.57813e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,19.5,5.25928e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,19.5,2.0846e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,19.5,2.07278e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,19.5,2.12538e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,19.5,2.0846e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,19.5,2.06586e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,20.5,5.81252e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,20.5,2.30389e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,20.5,2.29082e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,20.5,2.34896e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,20.5,2.34896e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,20.5,2.31987e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,20.5,2.3076e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,20.5,2.3076e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,20.5,2.30182e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,20.5,9.96437e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,20.5,5.81252e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,20.5,2.30389e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,20.5,2.29082e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,20.5,2.34896e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,20.5,2.30389e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,20.5,2.28318e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,21.5,6.89618e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,21.5,2.30532e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,21.5,2.29211e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,21.5,2.36143e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,21.5,2.36143e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,21.5,2.3215e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,21.5,2.30908e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,21.5,2.30908e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,21.5,2.30324e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,21.5,1.15746e-12
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,21.5,6.89618e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,21.5,2.30532e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,21.5,2.29211e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,21.5,2.36143e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,21.5,2.30532e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,21.5,2.28438e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,22.5,8.17426e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,22.5,2.30678e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,22.5,2.29341e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,22.5,2.37736e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,22.5,2.37736e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,22.5,2.32316e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,22.5,2.31058e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,22.5,2.31058e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,22.5,2.30467e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,22.5,1.34451e-12
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,22.5,8.17426e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,22.5,2.30678e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,22.5,2.29341e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,22.5,2.37736e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,22.5,2.30678e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,22.5,2.28559e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,23.5,9.68004e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,23.5,2.30825e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,23.5,2.29472e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,23.5,2.39782e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,23.5,2.39782e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,23.5,2.32483e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,23.5,2.31209e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,23.5,2.31209e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,23.5,2.30611e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,23.5,1.56179e-12
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,23.5,9.68004e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,23.5,2.30825e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,23.5,2.29472e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,23.5,2.39782e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,23.5,2.30825e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,23.5,2.28682e-09
